"Pays","Indicateur","Periode","Valeurs"
"Afghanistan","Emissions totales de GES (kt equivalent CO2)","2000-2019","22484.736844113"
"Albania","Emissions totales de GES (kt equivalent CO2)","2000-2019","8991.5789553994"
"Algeria","Emissions totales de GES (kt equivalent CO2)","2000-2019","220439.47400545"
"Andorra","Emissions totales de GES (kt equivalent CO2)","2000-2019","612.63157505738"
"Angola","Emissions totales de GES (kt equivalent CO2)","2000-2019","74082.631964433"
"Antigua and Barbuda","Emissions totales de GES (kt equivalent CO2)","2000-2019","1026.8421016241"
"Argentina","Emissions totales de GES (kt equivalent CO2)","2000-2019","343224.73626388"
"Armenia","Emissions totales de GES (kt equivalent CO2)","2000-2019","8165.7894285102"
"Australia","Emissions totales de GES (kt equivalent CO2)","2000-2019","600092.10847553"
"Austria","Emissions totales de GES (kt equivalent CO2)","2000-2019","81808.421084755"
"Azerbaijan","Emissions totales de GES (kt equivalent CO2)","2000-2019","45737.894760935"
"Bahamas, The","Emissions totales de GES (kt equivalent CO2)","2000-2019","2884.7367889003"
"Bahrain","Emissions totales de GES (kt equivalent CO2)","2000-2019","40218.94736039"
"Bangladesh","Emissions totales de GES (kt equivalent CO2)","2000-2019","162932.63204474"
"Barbados","Emissions totales de GES (kt equivalent CO2)","2000-2019","4021.5789769825"
"Belarus","Emissions totales de GES (kt equivalent CO2)","2000-2019","85393.15715589"
"Belgium","Emissions totales de GES (kt equivalent CO2)","2000-2019","119674.20999627"
"Belize","Emissions totales de GES (kt equivalent CO2)","2000-2019","1258.9473724365"
"Benin","Emissions totales de GES (kt equivalent CO2)","2000-2019","10535.26308662"
"Bhutan","Emissions totales de GES (kt equivalent CO2)","2000-2019","1196.8420994909"
"Bolivia","Emissions totales de GES (kt equivalent CO2)","2000-2019","48277.894772981"
"Bosnia and Herzegovina","Emissions totales de GES (kt equivalent CO2)","2000-2019","24404.736870214"
"Botswana","Emissions totales de GES (kt equivalent CO2)","2000-2019","13819.473768535"
"Brazil","Emissions totales de GES (kt equivalent CO2)","2000-2019","971290.52413137"
"Brunei Darussalam","Emissions totales de GES (kt equivalent CO2)","2000-2019","8767.8947197764"
"Bulgaria","Emissions totales de GES (kt equivalent CO2)","2000-2019","58008.420843827"
"Burkina Faso","Emissions totales de GES (kt equivalent CO2)","2000-2019","24161.578881113"
"Burundi","Emissions totales de GES (kt equivalent CO2)","2000-2019","3021.0526115016"
"Cabo Verde","Emissions totales de GES (kt equivalent CO2)","2000-2019","648.94737067975"
"Cambodia","Emissions totales de GES (kt equivalent CO2)","2000-2019","27991.052828337"
"Cameroon","Emissions totales de GES (kt equivalent CO2)","2000-2019","85001.052454898"
"Canada","Emissions totales de GES (kt equivalent CO2)","2000-2019","690892.10590563"
"Central African Republic","Emissions totales de GES (kt equivalent CO2)","2000-2019","21474.210538362"
"Chad","Emissions totales de GES (kt equivalent CO2)","2000-2019","54421.579461349"
"Chile","Emissions totales de GES (kt equivalent CO2)","2000-2019","90446.84199283"
"China","Emissions totales de GES (kt equivalent CO2)","2000-2019","9545648.386102"
"Colombia","Emissions totales de GES (kt equivalent CO2)","2000-2019","160480.52657278"
"Comoros","Emissions totales de GES (kt equivalent CO2)","2000-2019","433.15789103508"
"Congo, Dem. Rep.","Emissions totales de GES (kt equivalent CO2)","2000-2019","48610.000409578"
"Congo, Rep.","Emissions totales de GES (kt equivalent CO2)","2000-2019","14440.000132511"
"Costa Rica","Emissions totales de GES (kt equivalent CO2)","2000-2019","13378.947257996"
"Cote d'Ivoire","Emissions totales de GES (kt equivalent CO2)","2000-2019","22406.841880397"
"Croatia","Emissions totales de GES (kt equivalent CO2)","2000-2019","25550.526267604"
"Cuba","Emissions totales de GES (kt equivalent CO2)","2000-2019","42625.78944156"
"Czechia","Emissions totales de GES (kt equivalent CO2)","2000-2019","131392.63233386"
